 ID,Date,Parameter/Paramètre,Value/Valeur,Symbol/Symbole
01ED003,1969-10-09,discharge/débit,51.8,
01ED003,1969-10-10,discharge/débit,42.8,
01ED003,1969-10-11,discharge/débit,34.8,
01ED003,1969-10-12,discharge/débit,26.1,
01ED003,1969-10-13,discharge/débit,28.9,
01ED003,1969-10-14,discharge/débit,56.6,
01ED003,1969-10-15,discharge/débit,48.4,
01ED003,1969-10-16,discharge/débit,42.5,
01ED003,1969-10-17,discharge/débit,56.1,
01ED003,1969-10-18,discharge/débit,55.8,
01ED003,1969-10-19,discharge/débit,61.2,
01ED003,1969-10-20,discharge/débit,70.8,
01ED003,1969-10-21,discharge/débit,66.3,
01ED003,1969-10-22,discharge/débit,58.3,
01ED003,1969-10-23,discharge/débit,51.8,
01ED003,1969-10-24,discharge/débit,63.1,
01ED003,1969-10-25,discharge/débit,47.3,
01ED003,1969-10-26,discharge/débit,49.3,
01ED003,1969-10-27,discharge/débit,55.5,
01ED003,1969-10-28,discharge/débit,23.7,
01ED003,1969-10-29,discharge/débit,16.4,
01ED003,1969-10-30,discharge/débit,23.5,
01ED003,1969-10-31,discharge/débit,21.3,
01ED003,1969-11-01,discharge/débit,21.2,
01ED003,1969-11-02,discharge/débit,12.8,
01ED003,1969-11-03,discharge/débit,21.2,
01ED003,1969-11-04,discharge/débit,19.5,
01ED003,1969-11-05,discharge/débit,30.6,
01ED003,1969-11-06,discharge/débit,23.6,
01ED003,1969-11-07,discharge/débit,26.8,
01ED003,1969-11-08,discharge/débit,30.6,
01ED003,1969-11-09,discharge/débit,13.3,A
01ED003,1969-11-10,discharge/débit,20.6,E
01ED003,1969-11-11,discharge/débit,17.7,E
01ED003,1969-11-12,discharge/débit,25.8,E
01ED003,1969-11-13,discharge/débit,25.4,E
01ED003,1969-11-14,discharge/débit,26.8,E
01ED003,1969-11-15,discharge/débit,32.0,E
01ED003,1969-11-16,discharge/débit,21.7,A
01ED003,1969-11-17,discharge/débit,31.7,
01ED003,1969-11-18,discharge/débit,19.5,
01ED003,1969-11-19,discharge/débit,24.9,
01ED003,1969-11-20,discharge/débit,28.6,
01ED003,1969-11-21,discharge/débit,26.2,
01ED003,1969-11-22,discharge/débit,23.5,
01ED003,1969-11-23,discharge/débit,19.5,
01ED003,1969-11-24,discharge/débit,21.9,
01ED003,1969-11-25,discharge/débit,17.3,
01ED003,1969-11-26,discharge/débit,35.4,
01ED003,1969-11-27,discharge/débit,22.0,
01ED003,1969-11-28,discharge/débit,32.8,
01ED003,1969-11-29,discharge/débit,15.7,
01ED003,1969-11-30,discharge/débit,15.3,
01ED003,1969-12-01,discharge/débit,26.2,
01ED003,1969-12-02,discharge/débit,25.8,
01ED003,1969-12-03,discharge/débit,24.3,
01ED003,1969-12-04,discharge/débit,33.7,
01ED003,1969-12-05,discharge/débit,48.7,
01ED003,1969-12-06,discharge/débit,31.1,
01ED003,1969-12-07,discharge/débit,36.5,
